State,lon,lat,
Kerala,76.5120396,10.3528744,
India,78.6677428,22.3511148,
Delhi,77.2219388,28.6517178,
Telangana,79.1151663,17.8495919,
Rajasthan,73.7684549,26.8105777,
Haryana,76,29,
Uttar Pradesh,80.859666,27.1303344,
Ladakh,77.6568576,33.9456407,
Tamil Nadu,78.3665347,10.9094334,
Jammu and Kashmir,75.1629584,33.6649297,
Karnataka,75.7223521,14.5203896,
Maharashtra,75.6741579,18.9068356,
Punjab,75.5004841,30.9293211,
Andhra Pradesh,80.1863809,15.9240905,
Himachal Pradesh,77.34932052,31.81676015,
Uttarakhand,79.089691,30.0417376,
Odisha,84.6897321,20.5431241,
Puducherry,79.8069488,10.91564885, 
West Bengal,87.6855882,22.9964948,
Chandigarh,76.7797143,30.7334421,
Chhattisgarh,81.8406351,21.6637359,
Gujarat,71.7452633,22.3850008,
Madhya Pradesh,77.5340719,23.8143419,
Bihar,85.906508,25.6440845,
Manipur,93.9229386,24.7208818,
Goa,74.0855134,15.3004543,
Mizoram,92.8687612,23.2146169,
Andaman and Nicobar Islands,92.83165406,12.61123865,
Assam,93.2551303,26.4073841,
Jharkhand,85.2557301,23.4559809,
Arunachal Pradesh,94.5921326,28.0937702,
Nagaland,94.5884911,26.1630556,
Tripura,91.7025091,23.7750823,
Dadra and Nagar Haveli and Daman and Diu,73.00625078,20.20395065,
Meghalaya,91.2999102,25.5379432,
Sikkim,88.45413639,27.601029,
State Unassigned,119.3571335,-17.26542585,
Lakshadweep,73.68046209,10.8132489,
